"scenario","nameOM","nameMP","keyVar","plotOrder","species","simYears","harvContRule","benchmark","canER","finalCanER","ERStartYear","EREndYear","usER","propMixHigh","singleHCR","moveTAC","prodRegime","prodPpnChange","prodTrendLength","prodStartYear","prodEndYear","prodRegimeLen","ampSinProd","sinCycleLen","capRegime","capPpnChange","capTrendLength","capStartYear","capEndYear","capRegimeLen","sigRegime","sigShiftYear","rho","arSigTransform","biasCor","correlCU","corrMat","sampCU_coef1","tauCatch","obsSig","mixOUSig","singOUSig","obsMixCatchSig","obsSingCatchSig","obsAgeErr","lowCatchThresh","highCatchThresh","extinctThresh","adjustSig","adjustAge","adjustForecast","agePpnConst","rCap","assessType","assessFreq","bmERAdj","redStatusER","amberStatusER","normPeriod","infBetaPrior","fERAdj","HCRtype","arSimpleAssess","rampER"
"stationarylAR1_5yr_both_HCR3_retro","stationarylAR1","5yr_both_HCR3_retro","prodRegime",1,"chinook",70,"trendER","stockRecruit",0.75,0.75,1,70,0,1,"retro",FALSE,"linear",1,40,20,50,NA,NA,NA,"linear",1,40,10,30,NA,"stable",NA,0.4,FALSE,FALSE,0,FALSE,FALSE,0,0.1,0,0,0,0,0,0,NA,1e-04,1,1,1,TRUE,3,"both",5,0.5,0.1,0.1,FALSE,TRUE,1,"both",TRUE,FALSE
"stationarylAR1_1yr_both_HCR3_retro","stationarylAR1","1yr_both_HCR3_retro","prodRegime",1,"chinook",70,"trendER","stockRecruit",0.75,0.75,1,70,0,1,"retro",FALSE,"linear",1,40,20,50,NA,NA,NA,"linear",1,40,10,30,NA,"stable",NA,0.4,FALSE,FALSE,0,FALSE,FALSE,0,0.1,0,0,0,0,0,0,NA,1e-04,1,1,1,TRUE,3,"both",1,0.5,0.1,0.1,FALSE,TRUE,1,"both",TRUE,FALSE
"stationarylAR1_10yr_both_tv_u_smsy_HCR3_retro","stationarylAR1","10yr_both_tv_u_smsy_HCR2_retro","prodRegime",1,"chinook",70,"trendER","stockRecruit",0.75,0.75,1,70,0,1,"retro",FALSE,"linear",1,40,20,50,NA,NA,NA,"linear",1,40,10,30,NA,"stable",NA,0.4,FALSE,FALSE,0,FALSE,FALSE,0,0.1,0,0,0,0,0,0,NA,1e-04,1,1,1,TRUE,3,"both_tv_u_smsy",10,0.5,0.1,0.1,FALSE,TRUE,1,"both",TRUE,FALSE
"stationarylAR1_5yr_both_tv_u_smsy_HCR3_retro","stationarylAR1","5yr_both_tv_u_smsy_HCR2_retro","prodRegime",1,"chinook",70,"trendER","stockRecruit",0.75,0.75,1,70,0,1,"retro",FALSE,"linear",1,40,20,50,NA,NA,NA,"linear",1,40,10,30,NA,"stable",NA,0.4,FALSE,FALSE,0,FALSE,FALSE,0,0.1,0,0,0,0,0,0,NA,1e-04,1,1,1,TRUE,3,"both_tv_u_smsy",5,0.5,0.1,0.1,FALSE,TRUE,1,"both",TRUE,FALSE
"stationarylAR1_1yr_both_tv_u_smsy_HCR3_retro","stationarylAR1","1yr_both_tv_u_smsy_HCR2_retro","prodRegime",1,"chinook",70,"trendER","stockRecruit",0.75,0.75,1,70,0,1,"retro",FALSE,"linear",1,40,20,50,NA,NA,NA,"linear",1,40,10,30,NA,"stable",NA,0.4,FALSE,FALSE,0,FALSE,FALSE,0,0.1,0,0,0,0,0,0,NA,1e-04,1,1,1,TRUE,3,"both_tv_u_smsy",1,0.5,0.1,0.1,FALSE,TRUE,1,"both",TRUE,FALSE
"stationaryhAR1_10yr_autocorr_HCR3_retro","stationaryhAR1","10yr_autocorr_HCR3_retro","prodRegime",1,"chinook",70,"trendER","stockRecruit",0.75,0.75,1,70,0,1,"retro",FALSE,"linear",1,40,20,50,NA,NA,NA,"linear",1,40,10,30,NA,"stable",NA,0.8,FALSE,FALSE,0,FALSE,FALSE,0,0.1,0,0,0,0,0,0,NA,1e-04,1,1,1,TRUE,3,"autocorr",10,0.5,0.1,0.1,FALSE,TRUE,1,"both",TRUE,FALSE
"stationaryhAR1_5yr_autocorr_HCR3_retro","stationaryhAR1","5yr_autocorr_HCR3_retro","prodRegime",1,"chinook",70,"trendER","stockRecruit",0.75,0.75,1,70,0,1,"retro",FALSE,"linear",1,40,20,50,NA,NA,NA,"linear",1,40,10,30,NA,"stable",NA,0.8,FALSE,FALSE,0,FALSE,FALSE,0,0.1,0,0,0,0,0,0,NA,1e-04,1,1,1,TRUE,3,"autocorr",5,0.5,0.1,0.1,FALSE,TRUE,1,"both",TRUE,FALSE
"stationaryhAR1_1yr_autocorr_HCR3_retro","stationaryhAR1","1yr_autocorr_HCR3_retro","prodRegime",1,"chinook",70,"trendER","stockRecruit",0.75,0.75,1,70,0,1,"retro",FALSE,"linear",1,40,20,50,NA,NA,NA,"linear",1,40,10,30,NA,"stable",NA,0.8,FALSE,FALSE,0,FALSE,FALSE,0,0.1,0,0,0,0,0,0,NA,1e-04,1,1,1,TRUE,3,"autocorr",1,0.5,0.1,0.1,FALSE,TRUE,1,"both",TRUE,FALSE
"stationaryhAR1_10yr_rwa_HCR3_retro","stationaryhAR1","10yr_rwa_HCR3_retro","prodRegime",1,"chinook",70,"trendER","stockRecruit",0.75,0.75,1,70,0,1,"retro",FALSE,"linear",1,40,20,50,NA,NA,NA,"linear",1,40,10,30,NA,"stable",NA,0.8,FALSE,FALSE,0,FALSE,FALSE,0,0.1,0,0,0,0,0,0,NA,1e-04,1,1,1,TRUE,3,"rwa",10,0.5,0.1,0.1,FALSE,TRUE,1,"both",TRUE,FALSE
"stationaryhAR1_5yr_rwa_HCR3_retro","stationaryhAR1","5yr_rwa_HCR3_retro","prodRegime",1,"chinook",70,"trendER","stockRecruit",0.75,0.75,1,70,0,1,"retro",FALSE,"linear",1,40,20,50,NA,NA,NA,"linear",1,40,10,30,NA,"stable",NA,0.8,FALSE,FALSE,0,FALSE,FALSE,0,0.1,0,0,0,0,0,0,NA,1e-04,1,1,1,TRUE,3,"rwa",5,0.5,0.1,0.1,FALSE,TRUE,1,"both",TRUE,FALSE
"stationaryhAR1_1yr_rwa_HCR3_retro","stationaryhAR1","1yr_rwa_HCR3_retro","prodRegime",1,"chinook",70,"trendER","stockRecruit",0.75,0.75,1,70,0,1,"retro",FALSE,"linear",1,40,20,50,NA,NA,NA,"linear",1,40,10,30,NA,"stable",NA,0.8,FALSE,FALSE,0,FALSE,FALSE,0,0.1,0,0,0,0,0,0,NA,1e-04,1,1,1,TRUE,3,"rwa",1,0.5,0.1,0.1,FALSE,TRUE,1,"both",TRUE,FALSE
"stationaryhAR1_10yr_both_HCR3_retro","stationaryhAR1","10yr_both_HCR3_retro","prodRegime",1,"chinook",70,"trendER","stockRecruit",0.75,0.75,1,70,0,1,"retro",FALSE,"linear",1,40,20,50,NA,NA,NA,"linear",1,40,10,30,NA,"stable",NA,0.8,FALSE,FALSE,0,FALSE,FALSE,0,0.1,0,0,0,0,0,0,NA,1e-04,1,1,1,TRUE,3,"both",10,0.5,0.1,0.1,FALSE,TRUE,1,"both",TRUE,FALSE
"stationaryhAR1_5yr_both_HCR3_retro","stationaryhAR1","5yr_both_HCR3_retro","prodRegime",1,"chinook",70,"trendER","stockRecruit",0.75,0.75,1,70,0,1,"retro",FALSE,"linear",1,40,20,50,NA,NA,NA,"linear",1,40,10,30,NA,"stable",NA,0.8,FALSE,FALSE,0,FALSE,FALSE,0,0.1,0,0,0,0,0,0,NA,1e-04,1,1,1,TRUE,3,"both",5,0.5,0.1,0.1,FALSE,TRUE,1,"both",TRUE,FALSE
"stationaryhAR1_1yr_both_HCR3_retro","stationaryhAR1","1yr_both_HCR3_retro","prodRegime",1,"chinook",70,"trendER","stockRecruit",0.75,0.75,1,70,0,1,"retro",FALSE,"linear",1,40,20,50,NA,NA,NA,"linear",1,40,10,30,NA,"stable",NA,0.8,FALSE,FALSE,0,FALSE,FALSE,0,0.1,0,0,0,0,0,0,NA,1e-04,1,1,1,TRUE,3,"both",1,0.5,0.1,0.1,FALSE,TRUE,1,"both",TRUE,FALSE
"stationaryhAR1_10yr_both_tv_u_smsy_HCR3_retro","stationaryhAR1","10yr_both_tv_u_smsy_HCR2_retro","prodRegime",1,"chinook",70,"trendER","stockRecruit",0.75,0.75,1,70,0,1,"retro",FALSE,"linear",1,40,20,50,NA,NA,NA,"linear",1,40,10,30,NA,"stable",NA,0.8,FALSE,FALSE,0,FALSE,FALSE,0,0.1,0,0,0,0,0,0,NA,1e-04,1,1,1,TRUE,3,"both_tv_u_smsy",10,0.5,0.1,0.1,FALSE,TRUE,1,"both",TRUE,FALSE
"stationaryhAR1_5yr_both_tv_u_smsy_HCR3_retro","stationaryhAR1","5yr_both_tv_u_smsy_HCR2_retro","prodRegime",1,"chinook",70,"trendER","stockRecruit",0.75,0.75,1,70,0,1,"retro",FALSE,"linear",1,40,20,50,NA,NA,NA,"linear",1,40,10,30,NA,"stable",NA,0.8,FALSE,FALSE,0,FALSE,FALSE,0,0.1,0,0,0,0,0,0,NA,1e-04,1,1,1,TRUE,3,"both_tv_u_smsy",5,0.5,0.1,0.1,FALSE,TRUE,1,"both",TRUE,FALSE
"stationaryhAR1_1yr_both_tv_u_smsy_HCR3_retro","stationaryhAR1","1yr_both_tv_u_smsy_HCR2_retro","prodRegime",1,"chinook",70,"trendER","stockRecruit",0.75,0.75,1,70,0,1,"retro",FALSE,"linear",1,40,20,50,NA,NA,NA,"linear",1,40,10,30,NA,"stable",NA,0.8,FALSE,FALSE,0,FALSE,FALSE,0,0.1,0,0,0,0,0,0,NA,1e-04,1,1,1,TRUE,3,"both_tv_u_smsy",1,0.5,0.1,0.1,FALSE,TRUE,1,"both",TRUE,FALSE
"decLinearcap0.25_10yr_autocorr_HCR3_retro","decLinearcap0.25","10yr_autocorr_HCR3_retro","prodRegime",1,"chinook",70,"trendER","stockRecruit",0.75,0.75,1,70,0,1,"retro",FALSE,"linear",1,40,20,50,NA,NA,NA,"linear",0.25,40,10,30,NA,"stable",NA,0,FALSE,FALSE,0,FALSE,FALSE,0,0.1,0,0,0,0,0,0,NA,1e-04,1,1,1,TRUE,3,"autocorr",10,0.5,0.1,0.1,FALSE,TRUE,1,"both",TRUE,FALSE
"decLinearcap0.25_5yr_autocorr_HCR3_retro","decLinearcap0.25","5yr_autocorr_HCR3_retro","prodRegime",1,"chinook",70,"trendER","stockRecruit",0.75,0.75,1,70,0,1,"retro",FALSE,"linear",1,40,20,50,NA,NA,NA,"linear",0.25,40,10,30,NA,"stable",NA,0,FALSE,FALSE,0,FALSE,FALSE,0,0.1,0,0,0,0,0,0,NA,1e-04,1,1,1,TRUE,3,"autocorr",5,0.5,0.1,0.1,FALSE,TRUE,1,"both",TRUE,FALSE
"decLinearcap0.25_1yr_autocorr_HCR3_retro","decLinearcap0.25","1yr_autocorr_HCR3_retro","prodRegime",1,"chinook",70,"trendER","stockRecruit",0.75,0.75,1,70,0,1,"retro",FALSE,"linear",1,40,20,50,NA,NA,NA,"linear",0.25,40,10,30,NA,"stable",NA,0,FALSE,FALSE,0,FALSE,FALSE,0,0.1,0,0,0,0,0,0,NA,1e-04,1,1,1,TRUE,3,"autocorr",1,0.5,0.1,0.1,FALSE,TRUE,1,"both",TRUE,FALSE
"decLinearcap0.25_10yr_rwa_HCR3_retro","decLinearcap0.25","10yr_rwa_HCR3_retro","prodRegime",1,"chinook",70,"trendER","stockRecruit",0.75,0.75,1,70,0,1,"retro",FALSE,"linear",1,40,20,50,NA,NA,NA,"linear",0.25,40,10,30,NA,"stable",NA,0,FALSE,FALSE,0,FALSE,FALSE,0,0.1,0,0,0,0,0,0,NA,1e-04,1,1,1,TRUE,3,"rwa",10,0.5,0.1,0.1,FALSE,TRUE,1,"both",TRUE,FALSE
"decLinearcap0.25_5yr_rwa_HCR3_retro","decLinearcap0.25","5yr_rwa_HCR3_retro","prodRegime",1,"chinook",70,"trendER","stockRecruit",0.75,0.75,1,70,0,1,"retro",FALSE,"linear",1,40,20,50,NA,NA,NA,"linear",0.25,40,10,30,NA,"stable",NA,0,FALSE,FALSE,0,FALSE,FALSE,0,0.1,0,0,0,0,0,0,NA,1e-04,1,1,1,TRUE,3,"rwa",5,0.5,0.1,0.1,FALSE,TRUE,1,"both",TRUE,FALSE
"decLinearcap0.25_1yr_rwa_HCR3_retro","decLinearcap0.25","1yr_rwa_HCR3_retro","prodRegime",1,"chinook",70,"trendER","stockRecruit",0.75,0.75,1,70,0,1,"retro",FALSE,"linear",1,40,20,50,NA,NA,NA,"linear",0.25,40,10,30,NA,"stable",NA,0,FALSE,FALSE,0,FALSE,FALSE,0,0.1,0,0,0,0,0,0,NA,1e-04,1,1,1,TRUE,3,"rwa",1,0.5,0.1,0.1,FALSE,TRUE,1,"both",TRUE,FALSE
"decLinearcap0.25_10yr_both_HCR3_retro","decLinearcap0.25","10yr_both_HCR3_retro","prodRegime",1,"chinook",70,"trendER","stockRecruit",0.75,0.75,1,70,0,1,"retro",FALSE,"linear",1,40,20,50,NA,NA,NA,"linear",0.25,40,10,30,NA,"stable",NA,0,FALSE,FALSE,0,FALSE,FALSE,0,0.1,0,0,0,0,0,0,NA,1e-04,1,1,1,TRUE,3,"both",10,0.5,0.1,0.1,FALSE,TRUE,1,"both",TRUE,FALSE
"decLinearcap0.25_5yr_both_HCR3_retro","decLinearcap0.25","5yr_both_HCR3_retro","prodRegime",1,"chinook",70,"trendER","stockRecruit",0.75,0.75,1,70,0,1,"retro",FALSE,"linear",1,40,20,50,NA,NA,NA,"linear",0.25,40,10,30,NA,"stable",NA,0,FALSE,FALSE,0,FALSE,FALSE,0,0.1,0,0,0,0,0,0,NA,1e-04,1,1,1,TRUE,3,"both",5,0.5,0.1,0.1,FALSE,TRUE,1,"both",TRUE,FALSE
"decLinearcap0.25_1yr_both_HCR3_retro","decLinearcap0.25","1yr_both_HCR3_retro","prodRegime",1,"chinook",70,"trendER","stockRecruit",0.75,0.75,1,70,0,1,"retro",FALSE,"linear",1,40,20,50,NA,NA,NA,"linear",0.25,40,10,30,NA,"stable",NA,0,FALSE,FALSE,0,FALSE,FALSE,0,0.1,0,0,0,0,0,0,NA,1e-04,1,1,1,TRUE,3,"both",1,0.5,0.1,0.1,FALSE,TRUE,1,"both",TRUE,FALSE
"decLinearcap0.25_10yr_both_tv_u_smsy_HCR3_retro","decLinearcap0.25","10yr_both_tv_u_smsy_HCR2_retro","prodRegime",1,"chinook",70,"trendER","stockRecruit",0.75,0.75,1,70,0,1,"retro",FALSE,"linear",1,40,20,50,NA,NA,NA,"linear",0.25,40,10,30,NA,"stable",NA,0,FALSE,FALSE,0,FALSE,FALSE,0,0.1,0,0,0,0,0,0,NA,1e-04,1,1,1,TRUE,3,"both_tv_u_smsy",10,0.5,0.1,0.1,FALSE,TRUE,1,"both",TRUE,FALSE
"decLinearcap0.25_5yr_both_tv_u_smsy_HCR3_retro","decLinearcap0.25","5yr_both_tv_u_smsy_HCR2_retro","prodRegime",1,"chinook",70,"trendER","stockRecruit",0.75,0.75,1,70,0,1,"retro",FALSE,"linear",1,40,20,50,NA,NA,NA,"linear",0.25,40,10,30,NA,"stable",NA,0,FALSE,FALSE,0,FALSE,FALSE,0,0.1,0,0,0,0,0,0,NA,1e-04,1,1,1,TRUE,3,"both_tv_u_smsy",5,0.5,0.1,0.1,FALSE,TRUE,1,"both",TRUE,FALSE
"decLinearcap0.25_1yr_both_tv_u_smsy_HCR3_retro","decLinearcap0.25","1yr_both_tv_u_smsy_HCR2_retro","prodRegime",1,"chinook",70,"trendER","stockRecruit",0.75,0.75,1,70,0,1,"retro",FALSE,"linear",1,40,20,50,NA,NA,NA,"linear",0.25,40,10,30,NA,"stable",NA,0,FALSE,FALSE,0,FALSE,FALSE,0,0.1,0,0,0,0,0,0,NA,1e-04,1,1,1,TRUE,3,"both_tv_u_smsy",1,0.5,0.1,0.1,FALSE,TRUE,1,"both",TRUE,FALSE
"decLinearProd2to0.5_10yr_autocorr_HCR3_retro","decLinearProd2to0.5","10yr_autocorr_HCR3_retro","prodRegime",1,"chinook",70,"trendER","stockRecruit",0.75,0.75,1,70,0,1,"retro",FALSE,"linear",0.25,40,20,50,NA,NA,NA,"linear",1,40,10,30,NA,"stable",NA,0,FALSE,FALSE,0,FALSE,FALSE,0,0.1,0,0,0,0,0,0,NA,1e-04,1,1,1,TRUE,3,"autocorr",10,0.5,0.1,0.1,FALSE,TRUE,1,"both",TRUE,FALSE
"decLinearProd2to0.5_5yr_autocorr_HCR3_retro","decLinearProd2to0.5","5yr_autocorr_HCR3_retro","prodRegime",1,"chinook",70,"trendER","stockRecruit",0.75,0.75,1,70,0,1,"retro",FALSE,"linear",0.25,40,20,50,NA,NA,NA,"linear",1,40,10,30,NA,"stable",NA,0,FALSE,FALSE,0,FALSE,FALSE,0,0.1,0,0,0,0,0,0,NA,1e-04,1,1,1,TRUE,3,"autocorr",5,0.5,0.1,0.1,FALSE,TRUE,1,"both",TRUE,FALSE
"decLinearProd2to0.5_1yr_autocorr_HCR3_retro","decLinearProd2to0.5","1yr_autocorr_HCR3_retro","prodRegime",1,"chinook",70,"trendER","stockRecruit",0.75,0.75,1,70,0,1,"retro",FALSE,"linear",0.25,40,20,50,NA,NA,NA,"linear",1,40,10,30,NA,"stable",NA,0,FALSE,FALSE,0,FALSE,FALSE,0,0.1,0,0,0,0,0,0,NA,1e-04,1,1,1,TRUE,3,"autocorr",1,0.5,0.1,0.1,FALSE,TRUE,1,"both",TRUE,FALSE
"decLinearProd2to0.5_10yr_rwa_HCR3_retro","decLinearProd2to0.5","10yr_rwa_HCR3_retro","prodRegime",1,"chinook",70,"trendER","stockRecruit",0.75,0.75,1,70,0,1,"retro",FALSE,"linear",0.25,40,20,50,NA,NA,NA,"linear",1,40,10,30,NA,"stable",NA,0,FALSE,FALSE,0,FALSE,FALSE,0,0.1,0,0,0,0,0,0,NA,1e-04,1,1,1,TRUE,3,"rwa",10,0.5,0.1,0.1,FALSE,TRUE,1,"both",TRUE,FALSE
"decLinearProd2to0.5_5yr_rwa_HCR3_retro","decLinearProd2to0.5","5yr_rwa_HCR3_retro","prodRegime",1,"chinook",70,"trendER","stockRecruit",0.75,0.75,1,70,0,1,"retro",FALSE,"linear",0.25,40,20,50,NA,NA,NA,"linear",1,40,10,30,NA,"stable",NA,0,FALSE,FALSE,0,FALSE,FALSE,0,0.1,0,0,0,0,0,0,NA,1e-04,1,1,1,TRUE,3,"rwa",5,0.5,0.1,0.1,FALSE,TRUE,1,"both",TRUE,FALSE
"decLinearProd2to0.5_1yr_rwa_HCR3_retro","decLinearProd2to0.5","1yr_rwa_HCR3_retro","prodRegime",1,"chinook",70,"trendER","stockRecruit",0.75,0.75,1,70,0,1,"retro",FALSE,"linear",0.25,40,20,50,NA,NA,NA,"linear",1,40,10,30,NA,"stable",NA,0,FALSE,FALSE,0,FALSE,FALSE,0,0.1,0,0,0,0,0,0,NA,1e-04,1,1,1,TRUE,3,"rwa",1,0.5,0.1,0.1,FALSE,TRUE,1,"both",TRUE,FALSE
"decLinearProd2to0.5_10yr_both_HCR3_retro","decLinearProd2to0.5","10yr_both_HCR3_retro","prodRegime",1,"chinook",70,"trendER","stockRecruit",0.75,0.75,1,70,0,1,"retro",FALSE,"linear",0.25,40,20,50,NA,NA,NA,"linear",1,40,10,30,NA,"stable",NA,0,FALSE,FALSE,0,FALSE,FALSE,0,0.1,0,0,0,0,0,0,NA,1e-04,1,1,1,TRUE,3,"both",10,0.5,0.1,0.1,FALSE,TRUE,1,"both",TRUE,FALSE
"decLinearProd2to0.5_5yr_both_HCR3_retro","decLinearProd2to0.5","5yr_both_HCR3_retro","prodRegime",1,"chinook",70,"trendER","stockRecruit",0.75,0.75,1,70,0,1,"retro",FALSE,"linear",0.25,40,20,50,NA,NA,NA,"linear",1,40,10,30,NA,"stable",NA,0,FALSE,FALSE,0,FALSE,FALSE,0,0.1,0,0,0,0,0,0,NA,1e-04,1,1,1,TRUE,3,"both",5,0.5,0.1,0.1,FALSE,TRUE,1,"both",TRUE,FALSE
"decLinearProd2to0.5_1yr_both_HCR3_retro","decLinearProd2to0.5","1yr_both_HCR3_retro","prodRegime",1,"chinook",70,"trendER","stockRecruit",0.75,0.75,1,70,0,1,"retro",FALSE,"linear",0.25,40,20,50,NA,NA,NA,"linear",1,40,10,30,NA,"stable",NA,0,FALSE,FALSE,0,FALSE,FALSE,0,0.1,0,0,0,0,0,0,NA,1e-04,1,1,1,TRUE,3,"both",1,0.5,0.1,0.1,FALSE,TRUE,1,"both",TRUE,FALSE
"decLinearProd2to0.5_10yr_both_tv_u_smsy_HCR3_retro","decLinearProd2to0.5","10yr_both_tv_u_smsy_HCR2_retro","prodRegime",1,"chinook",70,"trendER","stockRecruit",0.75,0.75,1,70,0,1,"retro",FALSE,"linear",0.25,40,20,50,NA,NA,NA,"linear",1,40,10,30,NA,"stable",NA,0,FALSE,FALSE,0,FALSE,FALSE,0,0.1,0,0,0,0,0,0,NA,1e-04,1,1,1,TRUE,3,"both_tv_u_smsy",10,0.5,0.1,0.1,FALSE,TRUE,1,"both",TRUE,FALSE
"decLinearProd2to0.5_5yr_both_tv_u_smsy_HCR3_retro","decLinearProd2to0.5","5yr_both_tv_u_smsy_HCR2_retro","prodRegime",1,"chinook",70,"trendER","stockRecruit",0.75,0.75,1,70,0,1,"retro",FALSE,"linear",0.25,40,20,50,NA,NA,NA,"linear",1,40,10,30,NA,"stable",NA,0,FALSE,FALSE,0,FALSE,FALSE,0,0.1,0,0,0,0,0,0,NA,1e-04,1,1,1,TRUE,3,"both_tv_u_smsy",5,0.5,0.1,0.1,FALSE,TRUE,1,"both",TRUE,FALSE
"decLinearProd2to0.5_1yr_both_tv_u_smsy_HCR3_retro","decLinearProd2to0.5","1yr_both_tv_u_smsy_HCR2_retro","prodRegime",1,"chinook",70,"trendER","stockRecruit",0.75,0.75,1,70,0,1,"retro",FALSE,"linear",0.25,40,20,50,NA,NA,NA,"linear",1,40,10,30,NA,"stable",NA,0,FALSE,FALSE,0,FALSE,FALSE,0,0.1,0,0,0,0,0,0,NA,1e-04,1,1,1,TRUE,3,"both_tv_u_smsy",1,0.5,0.1,0.1,FALSE,TRUE,1,"both",TRUE,FALSE
"incLinearProd2to3_10yr_autocorr_HCR3_retro","incLinearProd2to3","10yr_autocorr_HCR3_retro","prodRegime",1,"chinook",70,"trendER","stockRecruit",0.75,0.75,1,70,0,1,"retro",FALSE,"linear",1.5,40,20,50,NA,NA,NA,"linear",1,40,10,30,NA,"stable",NA,0,FALSE,FALSE,0,FALSE,FALSE,0,0.1,0,0,0,0,0,0,NA,1e-04,1,1,1,TRUE,3,"autocorr",10,0.5,0.1,0.1,FALSE,TRUE,1,"both",TRUE,FALSE
"incLinearProd2to3_5yr_autocorr_HCR3_retro","incLinearProd2to3","5yr_autocorr_HCR3_retro","prodRegime",1,"chinook",70,"trendER","stockRecruit",0.75,0.75,1,70,0,1,"retro",FALSE,"linear",1.5,40,20,50,NA,NA,NA,"linear",1,40,10,30,NA,"stable",NA,0,FALSE,FALSE,0,FALSE,FALSE,0,0.1,0,0,0,0,0,0,NA,1e-04,1,1,1,TRUE,3,"autocorr",5,0.5,0.1,0.1,FALSE,TRUE,1,"both",TRUE,FALSE
"incLinearProd2to3_1yr_autocorr_HCR3_retro","incLinearProd2to3","1yr_autocorr_HCR3_retro","prodRegime",1,"chinook",70,"trendER","stockRecruit",0.75,0.75,1,70,0,1,"retro",FALSE,"linear",1.5,40,20,50,NA,NA,NA,"linear",1,40,10,30,NA,"stable",NA,0,FALSE,FALSE,0,FALSE,FALSE,0,0.1,0,0,0,0,0,0,NA,1e-04,1,1,1,TRUE,3,"autocorr",1,0.5,0.1,0.1,FALSE,TRUE,1,"both",TRUE,FALSE
"incLinearProd2to3_10yr_rwa_HCR3_retro","incLinearProd2to3","10yr_rwa_HCR3_retro","prodRegime",1,"chinook",70,"trendER","stockRecruit",0.75,0.75,1,70,0,1,"retro",FALSE,"linear",1.5,40,20,50,NA,NA,NA,"linear",1,40,10,30,NA,"stable",NA,0,FALSE,FALSE,0,FALSE,FALSE,0,0.1,0,0,0,0,0,0,NA,1e-04,1,1,1,TRUE,3,"rwa",10,0.5,0.1,0.1,FALSE,TRUE,1,"both",TRUE,FALSE
"incLinearProd2to3_5yr_rwa_HCR3_retro","incLinearProd2to3","5yr_rwa_HCR3_retro","prodRegime",1,"chinook",70,"trendER","stockRecruit",0.75,0.75,1,70,0,1,"retro",FALSE,"linear",1.5,40,20,50,NA,NA,NA,"linear",1,40,10,30,NA,"stable",NA,0,FALSE,FALSE,0,FALSE,FALSE,0,0.1,0,0,0,0,0,0,NA,1e-04,1,1,1,TRUE,3,"rwa",5,0.5,0.1,0.1,FALSE,TRUE,1,"both",TRUE,FALSE
"incLinearProd2to3_1yr_rwa_HCR3_retro","incLinearProd2to3","1yr_rwa_HCR3_retro","prodRegime",1,"chinook",70,"trendER","stockRecruit",0.75,0.75,1,70,0,1,"retro",FALSE,"linear",1.5,40,20,50,NA,NA,NA,"linear",1,40,10,30,NA,"stable",NA,0,FALSE,FALSE,0,FALSE,FALSE,0,0.1,0,0,0,0,0,0,NA,1e-04,1,1,1,TRUE,3,"rwa",1,0.5,0.1,0.1,FALSE,TRUE,1,"both",TRUE,FALSE
"incLinearProd2to3_10yr_both_HCR3_retro","incLinearProd2to3","10yr_both_HCR3_retro","prodRegime",1,"chinook",70,"trendER","stockRecruit",0.75,0.75,1,70,0,1,"retro",FALSE,"linear",1.5,40,20,50,NA,NA,NA,"linear",1,40,10,30,NA,"stable",NA,0,FALSE,FALSE,0,FALSE,FALSE,0,0.1,0,0,0,0,0,0,NA,1e-04,1,1,1,TRUE,3,"both",10,0.5,0.1,0.1,FALSE,TRUE,1,"both",TRUE,FALSE
"incLinearProd2to3_5yr_both_HCR3_retro","incLinearProd2to3","5yr_both_HCR3_retro","prodRegime",1,"chinook",70,"trendER","stockRecruit",0.75,0.75,1,70,0,1,"retro",FALSE,"linear",1.5,40,20,50,NA,NA,NA,"linear",1,40,10,30,NA,"stable",NA,0,FALSE,FALSE,0,FALSE,FALSE,0,0.1,0,0,0,0,0,0,NA,1e-04,1,1,1,TRUE,3,"both",5,0.5,0.1,0.1,FALSE,TRUE,1,"both",TRUE,FALSE
"incLinearProd2to3_1yr_both_HCR3_retro","incLinearProd2to3","1yr_both_HCR3_retro","prodRegime",1,"chinook",70,"trendER","stockRecruit",0.75,0.75,1,70,0,1,"retro",FALSE,"linear",1.5,40,20,50,NA,NA,NA,"linear",1,40,10,30,NA,"stable",NA,0,FALSE,FALSE,0,FALSE,FALSE,0,0.1,0,0,0,0,0,0,NA,1e-04,1,1,1,TRUE,3,"both",1,0.5,0.1,0.1,FALSE,TRUE,1,"both",TRUE,FALSE
"incLinearProd2to3_10yr_both_tv_u_smsy_HCR3_retro","incLinearProd2to3","10yr_both_tv_u_smsy_HCR3_retro","prodRegime",1,"chinook",70,"trendER","stockRecruit",0.75,0.75,1,70,0,1,"retro",FALSE,"linear",1.5,40,20,50,NA,NA,NA,"linear",1,40,10,30,NA,"stable",NA,0,FALSE,FALSE,0,FALSE,FALSE,0,0.1,0,0,0,0,0,0,NA,1e-04,1,1,1,TRUE,3,"both_tv_u_smsy",10,0.5,0.1,0.1,FALSE,TRUE,1,"both",TRUE,FALSE
